,Var.1,year,week,code,maxt,mint,rain,soil,rh,cases,cases_cat,mintl0,mintl1,mintl2,mintl3,mintl4,mintl5,mintl6,mintl7,mintl8,mintl9,rainl0,rainl1,rainl2,rainl3,rainl4,rainl5,rainl6,rainl7,rainl8,rainl9,maxtl0,maxtl1,maxtl2,maxtl3,maxtl4,maxtl5,maxtl6,maxtl7,maxtl8,maxtl9,soill0,soill1,soill2,soill3,soill4,soill5,soill6,soill7,soill8,soill9,rhl0,rhl1,rhl2,rhl3,rhl4,rhl5,rhl6,rhl7,rhl8,rhl9
11,11,2010,11,1000,36.9573647,19.95382128,5.800760456,8.547317123,32.0004931,0,0,19.95382128,19.79987335,18.19714638,17.20775865,17.39081286,16.23593601,14.94540465,12.72924351,13.34676988,15.18963762,5.800760456,2.801015228,0,1.993650794,1.909848485,4.708823529,2.973913043,0,0,10.01894804,36.9573647,35.65017933,35.5276425,33.68817747,32.68141099,31.30165025,30.54247356,30.1564497,29.5594124,29.06081627,8.547317123,5.869661336,7.901033059,11.34554826,14.61466524,13.62856414,15.03015091,16.21196315,20.41394246,25.49428887,32.0004931,36.81427539,31.86932011,38.5766228,44.10541166,45.34308527,45.27997685,41.89811178,50.72442131,56.22625863
12,12,2010,12,1000,38.65306847,21.27658341,0,4.582113847,28.12611869,0,0,21.27658341,19.95382128,19.79987335,18.19714638,17.20775865,17.39081286,16.23593601,14.94540465,12.72924351,13.34676988,0,5.800760456,2.801015228,0,1.993650794,1.909848485,4.708823529,2.973913043,0,0,38.65306847,36.9573647,35.65017933,35.5276425,33.68817747,32.68141099,31.30165025,30.54247356,30.1564497,29.5594124,4.582113847,8.547317123,5.869661336,7.901033059,11.34554826,14.61466524,13.62856414,15.03015091,16.21196315,20.41394246,28.12611869,32.0004931,36.81427539,31.86932011,38.5766228,44.10541166,45.34308527,45.27997685,41.89811178,50.72442131
13,13,2010,13,1000,37.96429634,22.51457774,3.533673469,3.75249565,29.28991658,0,0,22.51457774,21.27658341,19.95382128,19.79987335,18.19714638,17.20775865,17.39081286,16.23593601,14.94540465,12.72924351,3.533673469,0,5.800760456,2.801015228,0,1.993650794,1.909848485,4.708823529,2.973913043,0,37.96429634,38.65306847,36.9573647,35.65017933,35.5276425,33.68817747,32.68141099,31.30165025,30.54247356,30.1564497,3.75249565,4.582113847,8.547317123,5.869661336,7.901033059,11.34554826,14.61466524,13.62856414,15.03015091,16.21196315,29.28991658,28.12611869,32.0004931,36.81427539,31.86932011,38.5766228,44.10541166,45.34308527,45.27997685,41.89811178
14,14,2010,14,1000,39.67716056,22.47062988,0,2.962066262,27.32643943,0,0,22.47062988,22.51457774,21.27658341,19.95382128,19.79987335,18.19714638,17.20775865,17.39081286,16.23593601,14.94540465,0,3.533673469,0,5.800760456,2.801015228,0,1.993650794,1.909848485,4.708823529,2.973913043,39.67716056,37.96429634,38.65306847,36.9573647,35.65017933,35.5276425,33.68817747,32.68141099,31.30165025,30.54247356,2.962066262,3.75249565,4.582113847,8.547317123,5.869661336,7.901033059,11.34554826,14.61466524,13.62856414,15.03015091,27.32643943,29.28991658,28.12611869,32.0004931,36.81427539,31.86932011,38.5766228,44.10541166,45.34308527,45.27997685
15,15,2010,15,1000,40.63242431,24.82840257,0,3.05094406,29.58008938,0,0,24.82840257,22.47062988,22.51457774,21.27658341,19.95382128,19.79987335,18.19714638,17.20775865,17.39081286,16.23593601,0,0,3.533673469,0,5.800760456,2.801015228,0,1.993650794,1.909848485,4.708823529,40.63242431,39.67716056,37.96429634,38.65306847,36.9573647,35.65017933,35.5276425,33.68817747,32.68141099,31.30165025,3.05094406,2.962066262,3.75249565,4.582113847,8.547317123,5.869661336,7.901033059,11.34554826,14.61466524,13.62856414,29.58008938,27.32643943,29.28991658,28.12611869,32.0004931,36.81427539,31.86932011,38.5766228,44.10541166,45.34308527
16,16,2010,16,1000,40.68768124,25.43854325,0.877563025,4.602752711,32.52788945,22,1,25.43854325,24.82840257,22.47062988,22.51457774,21.27658341,19.95382128,19.79987335,18.19714638,17.20775865,17.39081286,0.877563025,0,0,3.533673469,0,5.800760456,2.801015228,0,1.993650794,1.909848485,40.68768124,40.63242431,39.67716056,37.96429634,38.65306847,36.9573647,35.65017933,35.5276425,33.68817747,32.68141099,4.602752711,3.05094406,2.962066262,3.75249565,4.582113847,8.547317123,5.869661336,7.901033059,11.34554826,14.61466524,32.52788945,29.58008938,27.32643943,29.28991658,28.12611869,32.0004931,36.81427539,31.86932011,38.5766228,44.10541166
17,17,2010,17,1000,40.92852567,25.43020051,4.456,4.090835195,25.38915746,0,0,25.43020051,25.43854325,24.82840257,22.47062988,22.51457774,21.27658341,19.95382128,19.79987335,18.19714638,17.20775865,4.456,0.877563025,0,0,3.533673469,0,5.800760456,2.801015228,0,1.993650794,40.92852567,40.68768124,40.63242431,39.67716056,37.96429634,38.65306847,36.9573647,35.65017933,35.5276425,33.68817747,4.090835195,4.602752711,3.05094406,2.962066262,3.75249565,4.582113847,8.547317123,5.869661336,7.901033059,11.34554826,25.38915746,32.52788945,29.58008938,27.32643943,29.28991658,28.12611869,32.0004931,36.81427539,31.86932011,38.5766228
18,18,2010,18,1000,38.78369102,25.00808939,3.004843305,9.799646262,38.57335324,0,0,25.00808939,25.43020051,25.43854325,24.82840257,22.47062988,22.51457774,21.27658341,19.95382128,19.79987335,18.19714638,3.004843305,4.456,0.877563025,0,0,3.533673469,0,5.800760456,2.801015228,0,38.78369102,40.92852567,40.68768124,40.63242431,39.67716056,37.96429634,38.65306847,36.9573647,35.65017933,35.5276425,9.799646262,4.090835195,4.602752711,3.05094406,2.962066262,3.75249565,4.582113847,8.547317123,5.869661336,7.901033059,38.57335324,25.38915746,32.52788945,29.58008938,27.32643943,29.28991658,28.12611869,32.0004931,36.81427539,31.86932011
19,19,2010,19,1000,41.58863474,26.35698095,1.966071429,4.612869392,28.56199624,0,0,26.35698095,25.00808939,25.43020051,25.43854325,24.82840257,22.47062988,22.51457774,21.27658341,19.95382128,19.79987335,1.966071429,3.004843305,4.456,0.877563025,0,0,3.533673469,0,5.800760456,2.801015228,41.58863474,38.78369102,40.92852567,40.68768124,40.63242431,39.67716056,37.96429634,38.65306847,36.9573647,35.65017933,4.612869392,9.799646262,4.090835195,4.602752711,3.05094406,2.962066262,3.75249565,4.582113847,8.547317123,5.869661336,28.56199624,38.57335324,25.38915746,32.52788945,29.58008938,27.32643943,29.28991658,28.12611869,32.0004931,36.81427539
20,20,2010,20,1000,41.51299447,27.06788885,2.296710526,6.889998972,35.3851024,0,0,27.06788885,26.35698095,25.00808939,25.43020051,25.43854325,24.82840257,22.47062988,22.51457774,21.27658341,19.95382128,2.296710526,1.966071429,3.004843305,4.456,0.877563025,0,0,3.533673469,0,5.800760456,41.51299447,41.58863474,38.78369102,40.92852567,40.68768124,40.63242431,39.67716056,37.96429634,38.65306847,36.9573647,6.889998972,4.612869392,9.799646262,4.090835195,4.602752711,3.05094406,2.962066262,3.75249565,4.582113847,8.547317123,35.3851024,28.56199624,38.57335324,25.38915746,32.52788945,29.58008938,27.32643943,29.28991658,28.12611869,32.0004931
21,21,2010,21,1000,40.49810345,26.98067565,1.340816327,11.31866864,42.76384321,0,0,26.98067565,27.06788885,26.35698095,25.00808939,25.43020051,25.43854325,24.82840257,22.47062988,22.51457774,21.27658341,1.340816327,2.296710526,1.966071429,3.004843305,4.456,0.877563025,0,0,3.533673469,0,40.49810345,41.51299447,41.58863474,38.78369102,40.92852567,40.68768124,40.63242431,39.67716056,37.96429634,38.65306847,11.31866864,6.889998972,4.612869392,9.799646262,4.090835195,4.602752711,3.05094406,2.962066262,3.75249565,4.582113847,42.76384321,35.3851024,28.56199624,38.57335324,25.38915746,32.52788945,29.58008938,27.32643943,29.28991658,28.12611869
22,22,2010,22,1000,39.67249814,26.5296094,5.609786477,17.16425953,41.58196999,0,0,26.5296094,26.98067565,27.06788885,26.35698095,25.00808939,25.43020051,25.43854325,24.82840257,22.47062988,22.51457774,5.609786477,1.340816327,2.296710526,1.966071429,3.004843305,4.456,0.877563025,0,0,3.533673469,39.67249814,40.49810345,41.51299447,41.58863474,38.78369102,40.92852567,40.68768124,40.63242431,39.67716056,37.96429634,17.16425953,11.31866864,6.889998972,4.612869392,9.799646262,4.090835195,4.602752711,3.05094406,2.962066262,3.75249565,41.58196999,42.76384321,35.3851024,28.56199624,38.57335324,25.38915746,32.52788945,29.58008938,27.32643943,29.28991658
23,23,2010,23,1000,37.85806836,26.00555943,5.90235026,22.27706958,47.79892742,0,0,26.00555943,26.5296094,26.98067565,27.06788885,26.35698095,25.00808939,25.43020051,25.43854325,24.82840257,22.47062988,5.90235026,5.609786477,1.340816327,2.296710526,1.966071429,3.004843305,4.456,0.877563025,0,0,37.85806836,39.67249814,40.49810345,41.51299447,41.58863474,38.78369102,40.92852567,40.68768124,40.63242431,39.67716056,22.27706958,17.16425953,11.31866864,6.889998972,4.612869392,9.799646262,4.090835195,4.602752711,3.05094406,2.962066262,47.79892742,41.58196999,42.76384321,35.3851024,28.56199624,38.57335324,25.38915746,32.52788945,29.58008938,27.32643943
24,24,2010,24,1000,34.64221681,24.69989446,16.39930877,56.03068239,69.40125571,0,0,24.69989446,26.00555943,26.5296094,26.98067565,27.06788885,26.35698095,25.00808939,25.43020051,25.43854325,24.82840257,16.39930877,5.90235026,5.609786477,1.340816327,2.296710526,1.966071429,3.004843305,4.456,0.877563025,0,34.64221681,37.85806836,39.67249814,40.49810345,41.51299447,41.58863474,38.78369102,40.92852567,40.68768124,40.63242431,56.03068239,22.27706958,17.16425953,11.31866864,6.889998972,4.612869392,9.799646262,4.090835195,4.602752711,3.05094406,69.40125571,47.79892742,41.58196999,42.76384321,35.3851024,28.56199624,38.57335324,25.38915746,32.52788945,29.58008938
25,25,2010,25,1000,33.65356079,24.13798379,9.469949021,56.83148955,72.38340737,0,0,24.13798379,24.69989446,26.00555943,26.5296094,26.98067565,27.06788885,26.35698095,25.00808939,25.43020051,25.43854325,9.469949021,16.39930877,5.90235026,5.609786477,1.340816327,2.296710526,1.966071429,3.004843305,4.456,0.877563025,33.65356079,34.64221681,37.85806836,39.67249814,40.49810345,41.51299447,41.58863474,38.78369102,40.92852567,40.68768124,56.83148955,56.03068239,22.27706958,17.16425953,11.31866864,6.889998972,4.612869392,9.799646262,4.090835195,4.602752711,72.38340737,69.40125571,47.79892742,41.58196999,42.76384321,35.3851024,28.56199624,38.57335324,25.38915746,32.52788945
26,26,2010,26,1000,34.05701978,24.26266372,9.36096577,53.29097284,71.54465591,0,0,24.26266372,24.13798379,24.69989446,26.00555943,26.5296094,26.98067565,27.06788885,26.35698095,25.00808939,25.43020051,9.36096577,9.469949021,16.39930877,5.90235026,5.609786477,1.340816327,2.296710526,1.966071429,3.004843305,4.456,34.05701978,33.65356079,34.64221681,37.85806836,39.67249814,40.49810345,41.51299447,41.58863474,38.78369102,40.92852567,53.29097284,56.83148955,56.03068239,22.27706958,17.16425953,11.31866864,6.889998972,4.612869392,9.799646262,4.090835195,71.54465591,72.38340737,69.40125571,47.79892742,41.58196999,42.76384321,35.3851024,28.56199624,38.57335324,25.38915746
27,27,2010,27,1000,30.06207246,23.25936663,16.54466793,65.78694386,85.21260206,0,0,23.25936663,24.26266372,24.13798379,24.69989446,26.00555943,26.5296094,26.98067565,27.06788885,26.35698095,25.00808939,16.54466793,9.36096577,9.469949021,16.39930877,5.90235026,5.609786477,1.340816327,2.296710526,1.966071429,3.004843305,30.06207246,34.05701978,33.65356079,34.64221681,37.85806836,39.67249814,40.49810345,41.51299447,41.58863474,38.78369102,65.78694386,53.29097284,56.83148955,56.03068239,22.27706958,17.16425953,11.31866864,6.889998972,4.612869392,9.799646262,85.21260206,71.54465591,72.38340737,69.40125571,47.79892742,41.58196999,42.76384321,35.3851024,28.56199624,38.57335324
28,28,2010,28,1000,31.13008796,23.59463759,8.499914471,61.18260896,78.46099359,0,0,23.59463759,23.25936663,24.26266372,24.13798379,24.69989446,26.00555943,26.5296094,26.98067565,27.06788885,26.35698095,8.499914471,16.54466793,9.36096577,9.469949021,16.39930877,5.90235026,5.609786477,1.340816327,2.296710526,1.966071429,31.13008796,30.06207246,34.05701978,33.65356079,34.64221681,37.85806836,39.67249814,40.49810345,41.51299447,41.58863474,61.18260896,65.78694386,53.29097284,56.83148955,56.03068239,22.27706958,17.16425953,11.31866864,6.889998972,4.612869392,78.46099359,85.21260206,71.54465591,72.38340737,69.40125571,47.79892742,41.58196999,42.76384321,35.3851024,28.56199624
29,29,2010,29,1000,31.19682272,23.87230823,11.16152888,64.4749789,81.69782069,0,0,23.87230823,23.59463759,23.25936663,24.26266372,24.13798379,24.69989446,26.00555943,26.5296094,26.98067565,27.06788885,11.16152888,8.499914471,16.54466793,9.36096577,9.469949021,16.39930877,5.90235026,5.609786477,1.340816327,2.296710526,31.19682272,31.13008796,30.06207246,34.05701978,33.65356079,34.64221681,37.85806836,39.67249814,40.49810345,41.51299447,64.4749789,61.18260896,65.78694386,53.29097284,56.83148955,56.03068239,22.27706958,17.16425953,11.31866864,6.889998972,81.69782069,78.46099359,85.21260206,71.54465591,72.38340737,69.40125571,47.79892742,41.58196999,42.76384321,35.3851024
30,30,2010,30,1000,29.11098171,23.2804363,21.28372881,83.2871559,83.32388327,0,0,23.2804363,23.87230823,23.59463759,23.25936663,24.26266372,24.13798379,24.69989446,26.00555943,26.5296094,26.98067565,21.28372881,11.16152888,8.499914471,16.54466793,9.36096577,9.469949021,16.39930877,5.90235026,5.609786477,1.340816327,29.11098171,31.19682272,31.13008796,30.06207246,34.05701978,33.65356079,34.64221681,37.85806836,39.67249814,40.49810345,83.2871559,64.4749789,61.18260896,65.78694386,53.29097284,56.83148955,56.03068239,22.27706958,17.16425953,11.31866864,83.32388327,81.69782069,78.46099359,85.21260206,71.54465591,72.38340737,69.40125571,47.79892742,41.58196999,42.76384321
31,31,2010,31,1000,29.10435611,22.67650942,15.76832642,80.22069401,81.30033433,0,0,22.67650942,23.2804363,23.87230823,23.59463759,23.25936663,24.26266372,24.13798379,24.69989446,26.00555943,26.5296094,15.76832642,21.28372881,11.16152888,8.499914471,16.54466793,9.36096577,9.469949021,16.39930877,5.90235026,5.609786477,29.10435611,29.11098171,31.19682272,31.13008796,30.06207246,34.05701978,33.65356079,34.64221681,37.85806836,39.67249814,80.22069401,83.2871559,64.4749789,61.18260896,65.78694386,53.29097284,56.83148955,56.03068239,22.27706958,17.16425953,81.30033433,83.32388327,81.69782069,78.46099359,85.21260206,71.54465591,72.38340737,69.40125571,47.79892742,41.58196999
32,32,2010,32,1000,29.23394438,22.6403484,14.66754871,78.292882,82.83584142,0,0,22.6403484,22.67650942,23.2804363,23.87230823,23.59463759,23.25936663,24.26266372,24.13798379,24.69989446,26.00555943,14.66754871,15.76832642,21.28372881,11.16152888,8.499914471,16.54466793,9.36096577,9.469949021,16.39930877,5.90235026,29.23394438,29.10435611,29.11098171,31.19682272,31.13008796,30.06207246,34.05701978,33.65356079,34.64221681,37.85806836,78.292882,80.22069401,83.2871559,64.4749789,61.18260896,65.78694386,53.29097284,56.83148955,56.03068239,22.27706958,82.83584142,81.30033433,83.32388327,81.69782069,78.46099359,85.21260206,71.54465591,72.38340737,69.40125571,47.79892742
33,33,2010,33,1000,30.13807178,23.0691556,11.92688804,77.21688809,83.05892254,0,0,23.0691556,22.6403484,22.67650942,23.2804363,23.87230823,23.59463759,23.25936663,24.26266372,24.13798379,24.69989446,11.92688804,14.66754871,15.76832642,21.28372881,11.16152888,8.499914471,16.54466793,9.36096577,9.469949021,16.39930877,30.13807178,29.23394438,29.10435611,29.11098171,31.19682272,31.13008796,30.06207246,34.05701978,33.65356079,34.64221681,77.21688809,78.292882,80.22069401,83.2871559,64.4749789,61.18260896,65.78694386,53.29097284,56.83148955,56.03068239,83.05892254,82.83584142,81.30033433,83.32388327,81.69782069,78.46099359,85.21260206,71.54465591,72.38340737,69.40125571
34,34,2010,34,1000,30.18984516,22.82453902,8.815119336,75.68101798,82.03777161,0,0,22.82453902,23.0691556,22.6403484,22.67650942,23.2804363,23.87230823,23.59463759,23.25936663,24.26266372,24.13798379,8.815119336,11.92688804,14.66754871,15.76832642,21.28372881,11.16152888,8.499914471,16.54466793,9.36096577,9.469949021,30.18984516,30.13807178,29.23394438,29.10435611,29.11098171,31.19682272,31.13008796,30.06207246,34.05701978,33.65356079,75.68101798,77.21688809,78.292882,80.22069401,83.2871559,64.4749789,61.18260896,65.78694386,53.29097284,56.83148955,82.03777161,83.05892254,82.83584142,81.30033433,83.32388327,81.69782069,78.46099359,85.21260206,71.54465591,72.38340737
35,35,2010,35,1000,29.55964814,22.72162561,17.49435951,83.53741238,85.5031052,0,0,22.72162561,22.82453902,23.0691556,22.6403484,22.67650942,23.2804363,23.87230823,23.59463759,23.25936663,24.26266372,17.49435951,8.815119336,11.92688804,14.66754871,15.76832642,21.28372881,11.16152888,8.499914471,16.54466793,9.36096577,29.55964814,30.18984516,30.13807178,29.23394438,29.10435611,29.11098171,31.19682272,31.13008796,30.06207246,34.05701978,83.53741238,75.68101798,77.21688809,78.292882,80.22069401,83.2871559,64.4749789,61.18260896,65.78694386,53.29097284,85.5031052,82.03777161,83.05892254,82.83584142,81.30033433,83.32388327,81.69782069,78.46099359,85.21260206,71.54465591
36,36,2010,36,1000,28.44401833,22.41881069,15.50220512,82.71229254,86.53863321,0,0,22.41881069,22.72162561,22.82453902,23.0691556,22.6403484,22.67650942,23.2804363,23.87230823,23.59463759,23.25936663,15.50220512,17.49435951,8.815119336,11.92688804,14.66754871,15.76832642,21.28372881,11.16152888,8.499914471,16.54466793,28.44401833,29.55964814,30.18984516,30.13807178,29.23394438,29.10435611,29.11098171,31.19682272,31.13008796,30.06207246,82.71229254,83.53741238,75.68101798,77.21688809,78.292882,80.22069401,83.2871559,64.4749789,61.18260896,65.78694386,86.53863321,85.5031052,82.03777161,83.05892254,82.83584142,81.30033433,83.32388327,81.69782069,78.46099359,85.21260206
37,37,2010,37,1000,30.70740666,22.1740957,7.429789082,71.48575423,79.62428157,0,0,22.1740957,22.41881069,22.72162561,22.82453902,23.0691556,22.6403484,22.67650942,23.2804363,23.87230823,23.59463759,7.429789082,15.50220512,17.49435951,8.815119336,11.92688804,14.66754871,15.76832642,21.28372881,11.16152888,8.499914471,30.70740666,28.44401833,29.55964814,30.18984516,30.13807178,29.23394438,29.10435611,29.11098171,31.19682272,31.13008796,71.48575423,82.71229254,83.53741238,75.68101798,77.21688809,78.292882,80.22069401,83.2871559,64.4749789,61.18260896,79.62428157,86.53863321,85.5031052,82.03777161,83.05892254,82.83584142,81.30033433,83.32388327,81.69782069,78.46099359
38,38,2010,38,1000,31.69223427,22.52033773,8.710666316,73.14498567,78.59611562,0,0,22.52033773,22.1740957,22.41881069,22.72162561,22.82453902,23.0691556,22.6403484,22.67650942,23.2804363,23.87230823,8.710666316,7.429789082,15.50220512,17.49435951,8.815119336,11.92688804,14.66754871,15.76832642,21.28372881,11.16152888,31.69223427,30.70740666,28.44401833,29.55964814,30.18984516,30.13807178,29.23394438,29.10435611,29.11098171,31.19682272,73.14498567,71.48575423,82.71229254,83.53741238,75.68101798,77.21688809,78.292882,80.22069401,83.2871559,64.4749789,78.59611562,79.62428157,86.53863321,85.5031052,82.03777161,83.05892254,82.83584142,81.30033433,83.32388327,81.69782069
39,39,2010,39,1000,32.64867696,22.16678395,8.231261845,67.99960548,76.48126038,0,0,22.16678395,22.52033773,22.1740957,22.41881069,22.72162561,22.82453902,23.0691556,22.6403484,22.67650942,23.2804363,8.231261845,8.710666316,7.429789082,15.50220512,17.49435951,8.815119336,11.92688804,14.66754871,15.76832642,21.28372881,32.64867696,31.69223427,30.70740666,28.44401833,29.55964814,30.18984516,30.13807178,29.23394438,29.10435611,29.11098171,67.99960548,73.14498567,71.48575423,82.71229254,83.53741238,75.68101798,77.21688809,78.292882,80.22069401,83.2871559,76.48126038,78.59611562,79.62428157,86.53863321,85.5031052,82.03777161,83.05892254,82.83584142,81.30033433,83.32388327
