id,Var.1,week,cases,year,maxt,mint,rain,soil,rh,mintl0,mintl1,mintl2,mintl3,mintl4,mintl5,mintl6,mintl7,mintl8,mintl9,rainl0,rainl1,rainl2,rainl3,rainl4,rainl5,rainl6,rainl7,rainl8,rainl9,maxtl0,maxtl1,maxtl2,maxtl3,maxtl4,maxtl5,maxtl6,maxtl7,maxtl8,maxtl9,soill0,soill1,soill2,soill3,soill4,soill5,soill6,soill7,soill8,soill9,rhl0,rhl1,rhl2,rhl3,rhl4,rhl5,rhl6,rhl7,rhl8,rhl9
11,X2010.10,11,0,2010,36.96513723,20.07183556,5.391283293,3.873463683,34.08382097,20.07183556,19.95099117,18.34104121,17.4272083,17.58852819,16.31903882,15.08724116,12.85961194,13.56868142,15.44595737,5.391283293,1.336077482,0,1.15472155,2.38716707,0.775302663,0.331234867,0,0,9.190799031,36.96513723,35.77309857,35.58550178,33.81379904,32.85151836,31.40413931,30.63605921,30.20547654,29.67185815,29.17632471,3.873463683,2.67792228,4.153318889,5.481359621,6.761962707,6.333465567,6.796574915,8.305290424,10.54898381,12.25371432,34.08382097,38.78895653,34.05655764,40.22943721,43.47329313,47.10942305,46.33438781,42.48235758,50.73685899,55.99516517
12,X2010.11,12,0,2010,38.67683213,21.32380872,0,2.035931384,31.26112866,21.32380872,20.07183556,19.95099117,18.34104121,17.4272083,17.58852819,16.31903882,15.08724116,12.85961194,13.56868142,0,5.391283293,1.336077482,0,1.15472155,2.38716707,0.775302663,0.331234867,0,0,38.67683213,36.96513723,35.77309857,35.58550178,33.81379904,32.85151836,31.40413931,30.63605921,30.20547654,29.67185815,2.035931384,3.873463683,2.67792228,4.153318889,5.481359621,6.761962707,6.333465567,6.796574915,8.305290424,10.54898381,31.26112866,34.08382097,38.78895653,34.05655764,40.22943721,43.47329313,47.10942305,46.33438781,42.48235758,50.73685899
13,X2010.12,13,0,2010,37.99392578,22.58763186,1.150605327,1.772622614,32.58159649,22.58763186,21.32380872,20.07183556,19.95099117,18.34104121,17.4272083,17.58852819,16.31903882,15.08724116,12.85961194,1.150605327,0,5.391283293,1.336077482,0,1.15472155,2.38716707,0.775302663,0.331234867,0,37.99392578,38.67683213,36.96513723,35.77309857,35.58550178,33.81379904,32.85151836,31.40413931,30.63605921,30.20547654,1.772622614,2.035931384,3.873463683,2.67792228,4.153318889,5.481359621,6.761962707,6.333465567,6.796574915,8.305290424,32.58159649,31.26112866,34.08382097,38.78895653,34.05655764,40.22943721,43.47329313,47.10942305,46.33438781,42.48235758
14,X2010.13,14,0,2010,39.71363546,22.55963927,0,1.345625427,27.32643943,22.55963927,22.58763186,21.32380872,20.07183556,19.95099117,18.34104121,17.4272083,17.58852819,16.31903882,15.08724116,0,1.150605327,0,5.391283293,1.336077482,0,1.15472155,2.38716707,0.775302663,0.331234867,39.71363546,37.99392578,38.67683213,36.96513723,35.77309857,35.58550178,33.81379904,32.85151836,31.40413931,30.63605921,1.345625427,1.772622614,2.035931384,3.873463683,2.67792228,4.153318889,5.481359621,6.761962707,6.333465567,6.796574915,27.32643943,32.58159649,31.26112866,34.08382097,38.78895653,34.05655764,40.22943721,43.47329313,47.10942305,46.33438781
15,X2010.14,15,0,2010,40.64645467,24.86879078,0,1.547482348,32.76403514,24.86879078,22.55963927,22.58763186,21.32380872,20.07183556,19.95099117,18.34104121,17.4272083,17.58852819,16.31903882,0,0,1.150605327,0,5.391283293,1.336077482,0,1.15472155,2.38716707,0.775302663,40.64645467,39.71363546,37.99392578,38.67683213,36.96513723,35.77309857,35.58550178,33.81379904,32.85151836,31.40413931,1.547482348,1.345625427,1.772622614,2.035931384,3.873463683,2.67792228,4.153318889,5.481359621,6.761962707,6.333465567,32.76403514,27.32643943,32.58159649,31.26112866,34.08382097,38.78895653,34.05655764,40.22943721,43.47329313,47.10942305
16,X2010.15,16,22,2010,40.69309111,25.46359843,2.528571429,2.216979218,35.84180353,25.46359843,24.86879078,22.55963927,22.58763186,21.32380872,20.07183556,19.95099117,18.34104121,17.4272083,17.58852819,2.528571429,0,0,1.150605327,0,5.391283293,1.336077482,0,1.15472155,2.38716707,40.69309111,40.64645467,39.71363546,37.99392578,38.67683213,36.96513723,35.77309857,35.58550178,33.81379904,32.85151836,2.216979218,1.547482348,1.345625427,1.772622614,2.035931384,3.873463683,2.67792228,4.153318889,5.481359621,6.761962707,35.84180353,32.76403514,27.32643943,32.58159649,31.26112866,34.08382097,38.78895653,34.05655764,40.22943721,43.47329313
17,X2010.16,17,0,2010,40.92442075,25.48788453,0.539467312,1.843484423,28.12407178,25.48788453,25.46359843,24.86879078,22.55963927,22.58763186,21.32380872,20.07183556,19.95099117,18.34104121,17.4272083,0.539467312,2.528571429,0,0,1.150605327,0,5.391283293,1.336077482,0,1.15472155,40.92442075,40.69309111,40.64645467,39.71363546,37.99392578,38.67683213,36.96513723,35.77309857,35.58550178,33.81379904,1.843484423,2.216979218,1.547482348,1.345625427,1.772622614,2.035931384,3.873463683,2.67792228,4.153318889,5.481359621,28.12407178,35.84180353,32.76403514,27.32643943,32.58159649,31.26112866,34.08382097,38.78895653,34.05655764,40.22943721
18,X2010.17,18,0,2010,38.752114,24.96426281,4.870460048,4.215963222,40.6081915,24.96426281,25.48788453,25.46359843,24.86879078,22.55963927,22.58763186,21.32380872,20.07183556,19.95099117,18.34104121,4.870460048,0.539467312,2.528571429,0,0,1.150605327,0,5.391283293,1.336077482,0,38.752114,40.92442075,40.69309111,40.64645467,39.71363546,37.99392578,38.67683213,36.96513723,35.77309857,35.58550178,4.215963222,1.843484423,2.216979218,1.547482348,1.345625427,1.772622614,2.035931384,3.873463683,2.67792228,4.153318889,40.6081915,28.12407178,35.84180353,32.76403514,27.32643943,32.58159649,31.26112866,34.08382097,38.78895653,34.05655764
19,X2010.18,19,0,2010,41.60075649,26.41994536,0.26779661,2.318246207,31.4120854,26.41994536,24.96426281,25.48788453,25.46359843,24.86879078,22.55963927,22.58763186,21.32380872,20.07183556,19.95099117,0.26779661,4.870460048,0.539467312,2.528571429,0,0,1.150605327,0,5.391283293,1.336077482,41.60075649,38.752114,40.92442075,40.69309111,40.64645467,39.71363546,37.99392578,38.67683213,36.96513723,35.77309857,2.318246207,4.215963222,1.843484423,2.216979218,1.547482348,1.345625427,1.772622614,2.035931384,3.873463683,2.67792228,31.4120854,40.6081915,28.12407178,35.84180353,32.76403514,27.32643943,32.58159649,31.26112866,34.08382097,38.78895653
20,X2010.19,20,0,2010,41.4276922,27.06581973,0.432687651,3.429344398,38.01424951,27.06581973,26.41994536,24.96426281,25.48788453,25.46359843,24.86879078,22.55963927,22.58763186,21.32380872,20.07183556,0.432687651,0.26779661,4.870460048,0.539467312,2.528571429,0,0,1.150605327,0,5.391283293,41.4276922,41.60075649,38.752114,40.92442075,40.69309111,40.64645467,39.71363546,37.99392578,38.67683213,36.96513723,3.429344398,2.318246207,4.215963222,1.843484423,2.216979218,1.547482348,1.345625427,1.772622614,2.035931384,3.873463683,38.01424951,31.4120854,40.6081915,28.12407178,35.84180353,32.76403514,27.32643943,32.58159649,31.26112866,34.08382097
21,X2010.20,21,0,2010,40.40835001,26.9231896,0.229782082,5.585087964,45.08369926,26.9231896,27.06581973,26.41994536,24.96426281,25.48788453,25.46359843,24.86879078,22.55963927,22.58763186,21.32380872,0.229782082,0.432687651,0.26779661,4.870460048,0.539467312,2.528571429,0,0,1.150605327,0,40.40835001,41.4276922,41.60075649,38.752114,40.92442075,40.69309111,40.64645467,39.71363546,37.99392578,38.67683213,5.585087964,3.429344398,2.318246207,4.215963222,1.843484423,2.216979218,1.547482348,1.345625427,1.772622614,2.035931384,45.08369926,38.01424951,31.4120854,40.6081915,28.12407178,35.84180353,32.76403514,27.32643943,32.58159649,31.26112866
22,X2010.21,22,0,2010,39.71691308,26.54584309,6.062469734,8.535321193,44.45363684,26.54584309,26.9231896,27.06581973,26.41994536,24.96426281,25.48788453,25.46359843,24.86879078,22.55963927,22.58763186,6.062469734,0.229782082,0.432687651,0.26779661,4.870460048,0.539467312,2.528571429,0,0,1.150605327,39.71691308,40.40835001,41.4276922,41.60075649,38.752114,40.92442075,40.69309111,40.64645467,39.71363546,37.99392578,8.535321193,5.585087964,3.429344398,2.318246207,4.215963222,1.843484423,2.216979218,1.547482348,1.345625427,1.772622614,44.45363684,45.08369926,38.01424951,31.4120854,40.6081915,28.12407178,35.84180353,32.76403514,27.32643943,32.58159649
23,X2010.22,23,0,2010,37.92447461,26.02554409,8.417433414,11.82481731,50.4581618,26.02554409,26.54584309,26.9231896,27.06581973,26.41994536,24.96426281,25.48788453,25.46359843,24.86879078,22.55963927,8.417433414,6.062469734,0.229782082,0.432687651,0.26779661,4.870460048,0.539467312,2.528571429,0,0,37.92447461,39.71691308,40.40835001,41.4276922,41.60075649,38.752114,40.92442075,40.69309111,40.64645467,39.71363546,11.82481731,8.535321193,5.585087964,3.429344398,2.318246207,4.215963222,1.843484423,2.216979218,1.547482348,1.345625427,50.4581618,44.45363684,45.08369926,38.01424951,31.4120854,40.6081915,28.12407178,35.84180353,32.76403514,27.32643943
24,X2010.23,24,0,2010,34.52553589,24.6223272,88.34237288,29.95403345,70.89490045,24.6223272,26.02554409,26.54584309,26.9231896,27.06581973,26.41994536,24.96426281,25.48788453,25.46359843,24.86879078,88.34237288,8.417433414,6.062469734,0.229782082,0.432687651,0.26779661,4.870460048,0.539467312,2.528571429,0,34.52553589,37.92447461,39.71691308,40.40835001,41.4276922,41.60075649,38.752114,40.92442075,40.69309111,40.64645467,29.95403345,11.82481731,8.535321193,5.585087964,3.429344398,2.318246207,4.215963222,1.843484423,2.216979218,1.547482348,70.89490045,50.4581618,44.45363684,45.08369926,38.01424951,31.4120854,40.6081915,28.12407178,35.84180353,32.76403514
25,X2010.24,25,0,2010,33.50277036,24.09786096,45.7874092,25.76767806,73.31946275,24.09786096,24.6223272,26.02554409,26.54584309,26.9231896,27.06581973,26.41994536,24.96426281,25.48788453,25.46359843,45.7874092,88.34237288,8.417433414,6.062469734,0.229782082,0.432687651,0.26779661,4.870460048,0.539467312,2.528571429,33.50277036,34.52553589,37.92447461,39.71691308,40.40835001,41.4276922,41.60075649,38.752114,40.92442075,40.69309111,25.76767806,29.95403345,11.82481731,8.535321193,5.585087964,3.429344398,2.318246207,4.215963222,1.843484423,2.216979218,73.31946275,70.89490045,50.4581618,44.45363684,45.08369926,38.01424951,31.4120854,40.6081915,28.12407178,35.84180353
26,X2010.25,26,0,2010,34.01379426,24.24350314,49.78038741,25.49144424,72.88466635,24.24350314,24.09786096,24.6223272,26.02554409,26.54584309,26.9231896,27.06581973,26.41994536,24.96426281,25.48788453,49.78038741,45.7874092,88.34237288,8.417433414,6.062469734,0.229782082,0.432687651,0.26779661,4.870460048,0.539467312,34.01379426,33.50277036,34.52553589,37.92447461,39.71691308,40.40835001,41.4276922,41.60075649,38.752114,40.92442075,25.49144424,25.76767806,29.95403345,11.82481731,8.535321193,5.585087964,3.429344398,2.318246207,4.215963222,1.843484423,72.88466635,73.31946275,70.89490045,50.4581618,44.45363684,45.08369926,38.01424951,31.4120854,40.6081915,28.12407178
27,X2010.26,27,0,2010,30.01386399,23.22714988,104.6508475,31.01284482,85.74059013,23.22714988,24.24350314,24.09786096,24.6223272,26.02554409,26.54584309,26.9231896,27.06581973,26.41994536,24.96426281,104.6508475,49.78038741,45.7874092,88.34237288,8.417433414,6.062469734,0.229782082,0.432687651,0.26779661,4.870460048,30.01386399,34.01379426,33.50277036,34.52553589,37.92447461,39.71691308,40.40835001,41.4276922,41.60075649,38.752114,31.01284482,25.49144424,25.76767806,29.95403345,11.82481731,8.535321193,5.585087964,3.429344398,2.318246207,4.215963222,85.74059013,72.88466635,73.31946275,70.89490045,50.4581618,44.45363684,45.08369926,38.01424951,31.4120854,40.6081915
28,X2010.27,28,0,2010,31.14340125,23.59085435,47.75690073,30.1314467,79.29729646,23.59085435,23.22714988,24.24350314,24.09786096,24.6223272,26.02554409,26.54584309,26.9231896,27.06581973,26.41994536,47.75690073,104.6508475,49.78038741,45.7874092,88.34237288,8.417433414,6.062469734,0.229782082,0.432687651,0.26779661,31.14340125,30.01386399,34.01379426,33.50277036,34.52553589,37.92447461,39.71691308,40.40835001,41.4276922,41.60075649,30.1314467,31.01284482,25.49144424,25.76767806,29.95403345,11.82481731,8.535321193,5.585087964,3.429344398,2.318246207,79.29729646,85.74059013,72.88466635,73.31946275,70.89490045,50.4581618,44.45363684,45.08369926,38.01424951,31.4120854
29,X2010.28,29,0,2010,31.15507596,23.83207939,64.16343826,29.8020286,82.43182527,23.83207939,23.59085435,23.22714988,24.24350314,24.09786096,24.6223272,26.02554409,26.54584309,26.9231896,27.06581973,64.16343826,47.75690073,104.6508475,49.78038741,45.7874092,88.34237288,8.417433414,6.062469734,0.229782082,0.432687651,31.15507596,31.14340125,30.01386399,34.01379426,33.50277036,34.52553589,37.92447461,39.71691308,40.40835001,41.4276922,29.8020286,30.1314467,31.01284482,25.49144424,25.76767806,29.95403345,11.82481731,8.535321193,5.585087964,3.429344398,82.43182527,79.29729646,85.74059013,72.88466635,73.31946275,70.89490045,50.4581618,44.45363684,45.08369926,38.01424951
30,X2010.29,30,0,2010,29.05181733,23.23917065,142.6302663,40.27988189,83.57453871,23.23917065,23.83207939,23.59085435,23.22714988,24.24350314,24.09786096,24.6223272,26.02554409,26.54584309,26.9231896,142.6302663,64.16343826,47.75690073,104.6508475,49.78038741,45.7874092,88.34237288,8.417433414,6.062469734,0.229782082,29.05181733,31.15507596,31.14340125,30.01386399,34.01379426,33.50277036,34.52553589,37.92447461,39.71691308,40.40835001,40.27988189,29.8020286,30.1314467,31.01284482,25.49144424,25.76767806,29.95403345,11.82481731,8.535321193,5.585087964,83.57453871,82.43182527,79.29729646,85.74059013,72.88466635,73.31946275,70.89490045,50.4581618,44.45363684,45.08369926
31,X2010.30,31,0,2010,29.1353457,22.66475495,99.77433414,39.92838966,81.76619484,22.66475495,23.23917065,23.83207939,23.59085435,23.22714988,24.24350314,24.09786096,24.6223272,26.02554409,26.54584309,99.77433414,142.6302663,64.16343826,47.75690073,104.6508475,49.78038741,45.7874092,88.34237288,8.417433414,6.062469734,29.1353457,29.05181733,31.15507596,31.14340125,30.01386399,34.01379426,33.50277036,34.52553589,37.92447461,39.71691308,39.92838966,40.27988189,29.8020286,30.1314467,31.01284482,25.49144424,25.76767806,29.95403345,11.82481731,8.535321193,81.76619484,83.57453871,82.43182527,79.29729646,85.74059013,72.88466635,73.31946275,70.89490045,50.4581618,44.45363684
32,X2010.31,32,0,2010,29.30620638,22.64047295,74.51840194,39.72932481,83.4316502,22.64047295,22.66475495,23.23917065,23.83207939,23.59085435,23.22714988,24.24350314,24.09786096,24.6223272,26.02554409,74.51840194,99.77433414,142.6302663,64.16343826,47.75690073,104.6508475,49.78038741,45.7874092,88.34237288,8.417433414,29.30620638,29.1353457,29.05181733,31.15507596,31.14340125,30.01386399,34.01379426,33.50277036,34.52553589,37.92447461,39.72932481,39.92838966,40.27988189,29.8020286,30.1314467,31.01284482,25.49144424,25.76767806,29.95403345,11.82481731,83.4316502,81.76619484,83.57453871,82.43182527,79.29729646,85.74059013,72.88466635,73.31946275,70.89490045,50.4581618
33,X2010.32,33,0,2010,30.15604494,23.05268926,69.06513317,39.06475671,83.5461054,23.05268926,22.64047295,22.66475495,23.23917065,23.83207939,23.59085435,23.22714988,24.24350314,24.09786096,24.6223272,69.06513317,74.51840194,99.77433414,142.6302663,64.16343826,47.75690073,104.6508475,49.78038741,45.7874092,88.34237288,30.15604494,29.30620638,29.1353457,29.05181733,31.15507596,31.14340125,30.01386399,34.01379426,33.50277036,34.52553589,39.06475671,39.72932481,39.92838966,40.27988189,29.8020286,30.1314467,31.01284482,25.49144424,25.76767806,29.95403345,83.5461054,83.4316502,81.76619484,83.57453871,82.43182527,79.29729646,85.74059013,72.88466635,73.31946275,70.89490045
34,X2010.33,34,0,2010,30.18158287,22.80045721,44.85060533,35.13063099,82.48033015,22.80045721,23.05268926,22.64047295,22.66475495,23.23917065,23.83207939,23.59085435,23.22714988,24.24350314,24.09786096,44.85060533,69.06513317,74.51840194,99.77433414,142.6302663,64.16343826,47.75690073,104.6508475,49.78038741,45.7874092,30.18158287,30.15604494,29.30620638,29.1353457,29.05181733,31.15507596,31.14340125,30.01386399,34.01379426,33.50277036,35.13063099,39.06475671,39.72932481,39.92838966,40.27988189,29.8020286,30.1314467,31.01284482,25.49144424,25.76767806,82.48033015,83.5461054,83.4316502,81.76619484,83.57453871,82.43182527,79.29729646,85.74059013,72.88466635,73.31946275
35,X2010.34,35,0,2010,29.49974329,22.6916858,110.9661017,40.45062492,85.89257205,22.6916858,22.80045721,23.05268926,22.64047295,22.66475495,23.23917065,23.83207939,23.59085435,23.22714988,24.24350314,110.9661017,44.85060533,69.06513317,74.51840194,99.77433414,142.6302663,64.16343826,47.75690073,104.6508475,49.78038741,29.49974329,30.18158287,30.15604494,29.30620638,29.1353457,29.05181733,31.15507596,31.14340125,30.01386399,34.01379426,40.45062492,35.13063099,39.06475671,39.72932481,39.92838966,40.27988189,29.8020286,30.1314467,31.01284482,25.49144424,85.89257205,82.48033015,83.5461054,83.4316502,81.76619484,83.57453871,82.43182527,79.29729646,85.74059013,72.88466635
36,X2010.35,36,0,2010,28.40961431,22.38248758,96.34866828,38.72814724,86.8436199,22.38248758,22.6916858,22.80045721,23.05268926,22.64047295,22.66475495,23.23917065,23.83207939,23.59085435,23.22714988,96.34866828,110.9661017,44.85060533,69.06513317,74.51840194,99.77433414,142.6302663,64.16343826,47.75690073,104.6508475,28.40961431,29.49974329,30.18158287,30.15604494,29.30620638,29.1353457,29.05181733,31.15507596,31.14340125,30.01386399,38.72814724,40.45062492,35.13063099,39.06475671,39.72932481,39.92838966,40.27988189,29.8020286,30.1314467,31.01284482,86.8436199,85.89257205,82.48033015,83.5461054,83.4316502,81.76619484,83.57453871,82.43182527,79.29729646,85.74059013
37,X2010.36,37,0,2010,30.70350648,22.17341771,22.23946731,34.57101289,80.23770504,22.17341771,22.38248758,22.6916858,22.80045721,23.05268926,22.64047295,22.66475495,23.23917065,23.83207939,23.59085435,22.23946731,96.34866828,110.9661017,44.85060533,69.06513317,74.51840194,99.77433414,142.6302663,64.16343826,47.75690073,30.70350648,28.40961431,29.49974329,30.18158287,30.15604494,29.30620638,29.1353457,29.05181733,31.15507596,31.14340125,34.57101289,38.72814724,40.45062492,35.13063099,39.06475671,39.72932481,39.92838966,40.27988189,29.8020286,30.1314467,80.23770504,86.8436199,85.89257205,82.48033015,83.5461054,83.4316502,81.76619484,83.57453871,82.43182527,79.29729646
38,X2010.37,38,0,2010,31.66659149,22.51577432,36.63801453,32.65769616,78.75481127,22.51577432,22.17341771,22.38248758,22.6916858,22.80045721,23.05268926,22.64047295,22.66475495,23.23917065,23.83207939,36.63801453,22.23946731,96.34866828,110.9661017,44.85060533,69.06513317,74.51840194,99.77433414,142.6302663,64.16343826,31.66659149,30.70350648,28.40961431,29.49974329,30.18158287,30.15604494,29.30620638,29.1353457,29.05181733,31.15507596,32.65769616,34.57101289,38.72814724,40.45062492,35.13063099,39.06475671,39.72932481,39.92838966,40.27988189,29.8020286,78.75481127,80.23770504,86.8436199,85.89257205,82.48033015,83.5461054,83.4316502,81.76619484,83.57453871,82.43182527
39,X2010.38,39,0,2010,32.59761509,22.2077466,34.27384988,33.59817175,76.58497572,22.2077466,22.51577432,22.17341771,22.38248758,22.6916858,22.80045721,23.05268926,22.64047295,22.66475495,23.23917065,34.27384988,36.63801453,22.23946731,96.34866828,110.9661017,44.85060533,69.06513317,74.51840194,99.77433414,142.6302663,32.59761509,31.66659149,30.70350648,28.40961431,29.49974329,30.18158287,30.15604494,29.30620638,29.1353457,29.05181733,33.59817175,32.65769616,34.57101289,38.72814724,40.45062492,35.13063099,39.06475671,39.72932481,39.92838966,40.27988189,76.58497572,78.75481127,80.23770504,86.8436199,85.89257205,82.48033015,83.5461054,83.4316502,81.76619484,83.57453871
